CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
CM 4855	CM Process Analysis &amp; Design I	Chemical Engineering	3	CM 3120 and CM 3230 and CM 3410(C) and CM 3510 and CH 2410	null	Fall	Must be enrolled in one of the following Major(s): Chemical Engineering
CM 4860	CM Process Analysis &amp; Design 2	Chemical Engineering	2	CM 4855	null	Spring	Must be enrolled in one of the following Major(s): Chemical Engineering
CM 4861	CM Design Laboratory 2	Chemical Engineering	1	CM 4860(C)	null	Spring	Must be enrolled in one of the following Major(s): Chemical Engineering
CM 4900	Interdisciplinary Design 1	Chemical Engineering	variable to   3.0	null	null	Fall	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CM 4910	Interdisciplinary Design 2	Chemical Engineering	variable to   3.0	null	null	Spring	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CM 4990	Special Topics in CM	Chemical Engineering	variable to   3.0;  Repeatable to a Max of 12	null	null	On Demand	Permission of instructor required
CMG 1000	Introduction to Construction Management	Construction Management	2	null	null	Fall	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CMG 1140	Basic Construction Materials	Construction Management	3	null	null	Spring	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CMG 1200	Introduction to Building Information Modeling	Construction Management	2	null	null	Spring	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CMG 2110	Building Utility Systems	Construction Management	4	PH 1240(C)	null	Fall	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CMG 2120	Statics and Strengths of Materials for Construction	Construction Management	4	PH 1110 or PH 1140	null	Spring	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CMG 2140	Building Materials &amp; Methods	Construction Management	4	CMG 1140	null	Spring	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CMG 2265	Construction Quantity Survey	Construction Management	3	CMG 1000 and CMG 1140	null	Spring	"Must be enrolled in one of the following Class(es): Sophomore, Junior, Senior"
CMG 3200	Site Planning and Development	Construction Management	4	SU 2000	null	Spring	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 3250	Structural Analysis and Design	Construction Management	3	CMG 2120 or MET 2120	null	Fall	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 3265	Construction Cost Estimating	Construction Management	4	CMG 2265	null	Fall	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 4000	Design-Build Project Delivery	Construction Management	3	CMG 3200(C)	null	On Demand	Must be enrolled in one of the following Class(es): Senior
CMG 4100	Construction Equipment Management	Construction Management	3	CMG 3265 and EC 3400	null	On Demand	"Must be enrolled in one of the following Class(es): Junior, Senior"
